ID	CONTENT_PAGE_ID	CONTENT_MENU_ID	SUBMENU_KEY	NAME_BASE	NAME_LOCAL	ADDRESS_BASE	ADDRESS_LOCAL	PHONE_BASE	PHONE_LOCAL	IMG_SRC	PROMOTION_DETAIL_BASE	PROMOTION_START_DATE	PROMOTION_END_DATE	WEB_PAGE	DETAIL_BASE	DETAIL_LOCAL	PROMOTION_DETAIL_LOCAL	IMGICON_SRC
"323,208"	3	7	ticketSale	Al Tayyar Tourism Travel	?????? ?????? ????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	9200 12333	9200 12333	photo/submenu/buyuk/ticket_sale.png				http://www.altayyargroup.com/en	"Al Tayyar Travel Group Holding Company is a Saudi joint-stock company.  Boasting over 3,000 employees, the company serves customers in over 430 branches in Saudi Arabia and abroad. The Group understands the value of having a presence in its client’s favourite tourist destinations, and thus has invested in branches across KSA, the GCC, Egypt, Sudan, Lebanon, Malaysia, the United Kingdom, Canada and other popular tourist locations."	"?????? ?????? ????? ??????? (???? ?????? ??????) ??? ????? ??? ?????? 37 ???? ?????? ?? ????? ????? ???????? ???????? ??????? ???? ???? ???? ?? 430 ????? ???? ??????? ??????? ???????? ???????. ??? ??? ?? ???? ????? ????? ?????? ??????? ?? ???? ????."		photo/submenu/kucuk/ticket_sale.png
"321,402"	3	3	rentacar	Best Rent a Car	?????? ?????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	9200 10 116	9200 10 116	photo/submenu/buyuk/rent_a_car.png				http://www.bestrentacar.com.sa	"The company is considered one of the biggest rent a car companies for short and long term contracts. It has more than 27 branches and a fleet of over 11.500 of brand new cars, Best Company covers all Kingdom vital areas including main airports."	"????? ?????? ?? ???? ????? ??????? ???? ????? ????? ????????? ????? ???? ?????? ???? ????? ??????? ? ???????? ???????? ?? ???? 27 ??? ? ????? ????????? ?????? ???? ?? 13,500 ????? ?????? ?? ????????? ???????."		photo/submenu/kucuk/rent_a_car.png
"324,221"	3	3	rentacar	Key Rent a Car	??????? ?????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	+966 9 2000 5211	+966 9 2000 5211	photo/submenu/buyuk/rent_a_car.png				http://www.key.sa	"We provide services for customers at more than eighty branches in twelve cities. Key Car Rental offers the best car rental services at all of the major airports in Saudi Arabia. If you are traveling through Riyadh, Jeddah, Dammam, Madinah, Abha, Yanbu or Al-Ahsa you will find one of our branches and our staff ready to assist you."	"???? ??????? ?????? ???????? ???? ????? ????? ???????? ?? ???? ???????? ???????? ?? ??????? ??????? ????????. ??? ??? ??????? ?? ???? ??????? ???? ??????? ??????? ???????? ????? ???? ?? ???????? ???? ??? ??? ?????? ?? ?????? ???????? ??? ????? ???? ??????? ????????."		photo/submenu/kucuk/rent_a_car.png
"220,124"	3	1	airportInfo	King Khalid International Airport	???? ????? ???? ??????	"Airport Road, King Khalid International Airport, Riyadh Saudi Arabia"	"???? ??????? ???? ????? ???? ??????? ??????? ??????? ??????? ????????"	+966-11-5678998	+966-11-5678998					www.riyadh-airport.com	"Terminal 1: Used for international flights, except flights operated by Air France, Saudia, Middle East Airlines, Korean Air and Nas Air.

Terminal 2: Used for international flights of Air France, Saudia, Middle East Airlines, Korean Air and Nas Air.

Terminal 3: Used for domestic flights.

Terminal 5: Used for domestic flights."	"????????? ??? 1: ?????? ??????? ???????? ???????? ??????? ???? ?????? ?????? ?????? ???????? ????????? ?????? ????? ??????? ??????? ?????? ??????? ????? ??? ???????.

?????? ??? 2: ?????? ??????? ??????? ?????? ?????? ???????? ????????? ?????? ????? ??????? ??????? ?????? ??????? ????? ??? ???????.

?????? ??? 3: ?????? ????? ??????? ???????? .

?????? ??? 5: ?????? ????? ??????? ???????? ."		about
"323,203"	3	7	ticketSale	Al Mosafer Travel	????? ??????? ????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	920000997	920000997	photo/submenu/buyuk/ticket_sale.png				https://www.almosafer.com/en/	"Almosafer is a Saudi Online based travel agency established in 2013, which enables the customer to be locked in an enjoyable experience to book the accommodation in more than 500,000 hotels around the world through their application, call center, website and the social media channels. The customer can always book without a credit card, pay later and even they can pay in installments."	"??????? ????? ??? ?????? ????? ???? ??????? ??? ????? ??????? ????????? ?????????. ??? ??????? ?? ??? ???? ??? ??????? ???? ??????? ?????? ?? ????????? ?????? ????? ????? ???????? ?? ???? ?? ??????? ?????? ??? ??????? ???? ?? ???? ????????? ??????????? ?????? ??????? ???????? ??? ???? ???????? ???????? ??????? ?????????. ????? ??????? ????? ?????? ?? ??? ??????? ??? ???? ?????? ???????? ?????? ??????? ?? ?????? ????? ???????? ?????."		photo/submenu/kucuk/ticket_sale.png
"324,225"	3	6	baggage	Lost & Found	???? ?????????	King Khaled International Airport T5	"??????, ???? ?????? 5"			photo/submenu/buyuk/baggage.png					"Lost&Found Office 
The items lost by the passengers in Terminal 5 are kept at the Lost & Found Office. The office is open 7/24. The items found are stored and delivered in a systematical order."	"??? ?????????
??? ???????? ???????? ???????? ?? ??? ?????? ?? ?????? ??? 5 ?? ???? ?????????. ?????? ????? 24/7. ??? ???????? ???????? ???? ?? ?????? ????? ???????? ????? ????????? ?? ???? ????."		photo/submenu/kucuk/baggage.png
"325,678"	3	7	ticketSale	Ticket Office Area	?????? ???????	King Khaled International Airport T5	"??????, ???? ?????? 5"			photo/submenu/buyuk/ticket_sale.png					"All tourism companies which are listed below are located on ground. 

Al Tayyar Tourism Travel
Saudi Arabian Airlines 
Al Mosafer Travel
Nesma Airlines
Saudi Arabian Airlines 
Saudi Arabian Airlines 
SaudiGulf Airlines
Flynas"	"?????? ?????? ????? ????????
?????? ?????? ??????? ????????
????? ??????? ????? ????????
???? ???????
?????? ?????? ??????? ????????
?????? ?????? ??????? ????????
???? ????? ???????? ???????
????? ???"		photo/submenu/kucuk/ticket_sale.png
"323,207"	3	7	ticketSale	Saudi Arabian Airlines	?????? ?????? ??????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	920022222	920022222	photo/submenu/buyuk/ticket_sale.png				http://www.saudiairlines.com	"Saudi Arabian Airlines , is the flag carrier airline of Saudi Arabia, based in Jeddah. The airline's main operational base is at Jeddah-King Abdulaziz International Airport (JED). Riyadh-King Khalid International Airport (RUH) and Dammam-King Fahd International Airport (DMM) are secondary hubs."	"?????? ?????? ??????? ???????? ?? ???? ??????? ??????? ????????? ????? ????? ??????? ?????? ????? ?????? ???? ?? ???? ????? ??? ?????? ?????? ???? ?????? ??????? ?????????? ?????? ??? ?????? ?????? ???? ????? ???? ?????? ??????? ????? ?????? ???? ?? ??? ?????? ?????? ???????? ??????? ????? ????? ??? ?????? ??????? ????? ?????? ?????? ??????? ???????? ??????? ??? 100 ???? ?? ????? ???????? ??????? ????? ?????? ??????? ????????? ??? ???? ????? ???? ????? ?? ?????? ?????? ????????."		photo/submenu/kucuk/ticket_sale.png
"329,021"	3	5	smokingArea	Smoking Area2	????? ????? ???????	King Khaled International Airport T5	"??????, ???? ?????? 5"			photo/submenu/buyuk/lounge.png					Smoking Area2	????? ????? ???????		photo/submenu/kucuk/lounge.png
"329,022"	3	5	smokingArea	Smoking Area3	????? ????? ???????	King Khaled International Airport T5	"??????, ???? ?????? 5"			photo/submenu/buyuk/lounge.png					Smoking Area3	????? ????? ???????		photo/submenu/kucuk/lounge.png
"329,023"	3	5	smokingArea	Smoking Area4	????? ????? ???????	King Khaled International Airport T5	"??????, ???? ?????? 5"			photo/submenu/buyuk/lounge.png					Smoking Area4	????? ????? ???????		photo/submenu/kucuk/lounge.png
"321,400"	3	3	rentacar	Primo Rent a Car	????? ?????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	8009478888	8009478888	photo/submenu/buyuk/rent_a_car.png					Primo  Rent a Car	????? ?????? ????????		photo/submenu/kucuk/rent_a_car.png
"195,970"	3	1	airportInfo	King Khalid International Airport	???? ????? ???? ??????	"Airport Road, King Khalid International Airport, Riyadh Saudi Arabia"	"???? ??????? ???? ????? ???? ??????? ??????? ??????? ??????? ????????"	+966-11-5678998	+966-11-5678998	photo/upload/1455201686476kc2.jpg				www.riyadh-airport.com	"King Khalid International Airport is located 35 kilometers north of Riyadh, Saudi Arabia. The airport serves the city of Riyadh, the capital of the country. King Khalid International Airport is the second biggest airport in Saudi Arabia, after Jeddah airport.

There are currently 35 airlines (approx) that uses Riyadh Airport for scheduled passenger service. These airlines offer a wide range of destinations in all over the world. In 2013, 49% of passengers used the airport for international flights."	"??? ???? ????? ???? ?????? ??? ??? 35 ???????? ?? ???? ????? ??????? ??????? ??????? ????????. ???? ?????? ????? ??????? ????? ??????. ??? ???? ???? ???? ?? ??????? ??????? ????????? ??? ???? ???.

???? ????? ?? ???? ?????? ??? ??? 35 ???? ???? ???? ????? ??????  ?????? ????? ?????? ??? ?????? ??????. ???? ??? ?????? ?????? ?????? ????? ?? ??????? ?? ???? ????? ??????. ?? ??? 2013?  ?????? 49? ?? ????????? ?????? ??????? ???????."		about
"325,677"	3	3	rentacar	Car Rental Area	????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"			photo/submenu/buyuk/rent_a_car.png					"All car rental companies which are listed below are located on basement. 
Strac Rent a Car
Theeb Rent a Car
Budget Rent a Car
Abu Diyab Rent a Car
Best Rent a Car
Hanco Rent a Car
Primo  Rent a Car
Key Rent a Car
Alyam Alarabi Rent a Car
Alwefaq Rent a Car"	"????? ?????? ????????
??? ?????? ????????
???? ?????? ????????
??? ???? ?????? ????????
?????? ?????? ????????
????? ?????? ????????
????? ?????? ????????
??????? ?????? ????????
???? ?????? ?????? ????????
?????? ?????? ????????"		photo/submenu/kucuk/rent_a_car.png
"329,020"	3	5	smokingArea	Smoking Area1	????? ????? ???????	King Khaled International Airport T5	"??????, ???? ?????? 5"			photo/submenu/buyuk/lounge.png					Smoking Area1	????? ????? ???????		photo/submenu/kucuk/lounge.png
"334,260"	3	2	taxi	Satco	?????	King Khalid International Airport T5	???? ? ?? ???? ????? ???? ?????? ???????	920000167	920000167						"The company offers excellent service to its customers through Car Rental with driver or without driver within the borders of the Kingdom also provide you with outstanding service car alternative when you need it, wherever you are covered by the geographical boundaries of the company.

The company is unique in private cars to serve people with special needs, beliefing from the company to provide excellent services for this dear segment to the society."	"???? ?????? ???????? ????????? ???? ?????? ???????? ?? ???? ????? ????? ????? ?? ???? ???? ???? ???? ??????? ??? ?? ?????? ???????? ???? ?? ??????? ??????? ??? ?????? ???? ????? ???? ??? ????? ?????? ????????? ??????.

??? ?? ?????? ???????? ????????? ????? ??????? ???? ????? ??? ?????????? ?????? ??????? ?? ?????? ?????? ?????? ????????? ???? ??????? ??????? ??? ???????."		
